title,spoken_languages,production_companies,production_countries,genres,keywords,original_language,popularity
Timeline,English,Paramount Pictures,United States of America,Action,time travel,en,11.22268
The Postman,English,Warner Bros.,United States of America,Drama,usa,en,14.564667000000002
Babe: Pig in the City,English,Kennedy Miller Productions,Australia,Drama,dog,en,11.356079
The Last Witch Hunter,English,Summit Entertainment,United States of America,Action,new york,en,52.612025
Red Planet,English,Warner Bros.,United States of America,Thriller,future,en,13.800656
Arthur and the Invisibles,English,EuropaCorp,France,Adventure,family,en,27.097932
Oceans,Français,Canal+,France,Family,duringcreditsstinger,en,10.706613
A Sound of Thunder,English,Epsilon Motion Pictures,United States of America,Thriller,dying and death,en,7.342892
Pompeii,English,TriStar Pictures,United States of America,Drama,3d,en,50.561849
Top Cat Begins,N/A,Anima Estudios,India,Comedy,3d,es,0.719996
A Beautiful Mind,English,Universal Pictures,United States of America,Drama,love of one's life,en,59.248437
The Lion King,English,Walt Disney Pictures,United States of America,Drama,redemption,en,90.457886
Journey 2: The Mysterious Island,English,New Line Cinema,United States of America,Action,duringcreditsstinger,en,40.723459000000005
Cloudy with a Chance of Meatballs 2,English,Columbia Pictures,United States of America,Comedy,scientist,en,41.247402
Red Dragon,English,Universal Pictures,United States of America,Thriller,serial killer,en,10.083905
Hidalgo,English,Touchstone Pictures,United States of America,Adventure,horse,en,16.759252
Jack and Jill,English,Columbia Pictures,United States of America,Comedy,duringcreditsstinger,en,22.132417999999998
2 Fast 2 Furious,English,Universal Pictures,United States of America,Thriller,los angeles,en,10.520961
The Little Prince,English,Onyx Films,France,Adventure,dystopia,en,35.384423
The Invasion,English,Warner Bros.,United States of America,Thriller,alien,en,15.673154
The Adventures of Rocky & Bullwinkle,Pусский,Universal Pictures,United States of America,Comedy,comedy,en,8.981427
The Secret Life of Pets,English,Universal Pictures,United States of America,Family,dog,en,31.482871999999997
The League of Extraordinary Gentlemen,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,vampire,en,47.436675
Despicable Me 2,English,Universal Pictures,United States of America,Comedy,duringcreditsstinger,en,136.886704
Independence Day,English,Twentieth Century Fox Film Corporation,United States of America,Action,alien,en,60.442593
The Lost World: Jurassic Park,English,Universal Pictures,United States of America,Action,dinosaur,en,2.502487
Madagascar,English,DreamWorks SKG,United States of America,Family,lion,en,48.110909
Children of Men,English,Universal Pictures,United States of America,Drama,dystopia,en,35.387874
X-Men,English,Twentieth Century Fox Film Corporation,United States of America,Action,superhero,en,4.6689099999999994
Wanted,English,Universal Pictures,United States of America,Thriller,revenge,en,73.82289
The Rock,English,Hollywood Pictures,United States of America,Thriller,fbi,en,51.469576
Ice Age: The Meltdown,English,Twentieth Century Fox Animation,United States of America,Comedy,adventure,en,85.11505799999999
50 First Dates,English,Columbia Pictures Corporation,United States of America,Comedy,romantic comedy,en,61.437585999999996
Hairspray,English,New Line Cinema,United States of America,Comedy,music,en,31.160542
Exorcist: The Beginning,English,Morgan Creek Productions,United States of America,Thriller,remake,en,15.761384
Inspector Gadget,English,Walt Disney Pictures,United States of America,Comedy,gadget,en,17.561954999999998
Now You See Me,English,Summit Entertainment,United States of America,Thriller,magic,en,71.124686
Grown Ups,English,Columbia Pictures,United States of America,Comedy,overweight,en,38.864027
The Terminal,English,DreamWorks SKG,United States of America,Drama,friendship,en,57.753914
Hotel for Dogs,English,DreamWorks SKG,United States of America,Comedy,duringcreditsstinger,en,13.25753
Vertical Limit,English,Columbia Pictures Corporation,United States of America,Thriller,himalaya,en,13.318744
Charlie Wilson's War,English,Universal Pictures,United States of America,Drama,cia,en,18.70031
Shark Tale,English,DreamWorks SKG,United States of America,Comedy,woman director,en,47.094369
Dreamgirls,English,Paramount Pictures,United States of America,Drama,musical,en,14.486310999999999
Be Cool,English,Metro-Goldwyn-Mayer (MGM),United States of America,Comedy,widow,en,18.614720000000002
Munich,English,Universal Pictures,United States of America,Drama,revenge,en,29.035221999999997
Tears of the Sun,English,Columbia Pictures,United States of America,Drama,president,en,27.055085
Killers,English,Lionsgate,United States of America,Comedy,assassin,en,23.004607
The Man from U.N.C.L.E.,English,Warner Bros.,United States of America,Comedy,remake,en,48.744209000000005
Spanglish,English,Columbia Pictures Corporation,United States of America,Comedy,biography,en,14.209329
Monster House,English,Columbia Pictures,United States of America,Comedy,secret,en,36.368839
Bandits,English,Metro-Goldwyn-Mayer (MGM),United States of America,Comedy,prison,en,24.353302
First Knight,English,Columbia Pictures Corporation,United States of America,Drama,knight,en,19.143321
Anna and the King,English,Fox 2000 Pictures,United States of America,Drama,father son relationship,en,13.327372
Immortals,English,Virgin Produced,United States of America,Drama,army,en,37.917002000000004
Hostage,English,Miramax Films,United States of America,Drama,kidnapping,en,23.663713
Titan A.E.,English,Twentieth Century Fox Film Corporation,United States of America,Action,dystopia,en,14.443810000000001
Hollywood Homicide,English,Columbia Pictures,United States of America,Comedy,hitman,en,10.605084
Soldier,English,Warner Bros.,United States of America,Action,dystopia,en,11.873856
Carriers,English,Paramount Vantage,United States of America,Drama,survival,en,12.708963
Monkeybone,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,aftercreditsstinger,en,8.098369
Flight of the Phoenix,English,Twentieth Century Fox Film Corporation,United States of America,Drama,robbery,en,20.374308
Unbreakable,English,Touchstone Pictures,United States of America,Drama,suspense,en,42.006908
Minions,English,Universal Pictures,United States of America,Comedy,duringcreditsstinger,en,875.581305
Sucker Punch,English,Warner Bros.,United States of America,Thriller,violence,en,39.127082
Snake Eyes,English,Paramount Pictures,United States of America,Crime,suspense,en,20.790703
Sphere,English,Warner Bros.,United States of America,Science Fiction,alien,en,18.659879999999998
The Angry Birds Movie,English,Columbia Pictures,United States of America,Family,3d,en,45.720894
Fool's Gold,English,Warner Bros.,United States of America,Comedy,divorce,en,21.789614999999998
Funny People,English,Universal Pictures,United States of America,Drama,cancer,en,20.199057
The Kingdom,English,Universal Pictures,United States of America,Drama,police,en,26.123704999999998
Talladega Nights: The Ballad of Ricky Bobby,English,Columbia Pictures,United States of America,Comedy,duringcreditsstinger,en,12.599836
Dr. Dolittle 2,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,forest,en,13.543053
Braveheart,English,Icon Entertainment International,United States of America,Drama,individual,en,60.722162
Jarhead,English,Universal Pictures,United States of America,Drama,sniper,en,32.227222999999995
The Simpsons Movie,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,duringcreditsstinger,en,46.875375
The Majestic,English,Village Roadshow Pictures,United States of America,Drama,california,en,11.215702
Driven,English,Epsilon Motion Pictures,United States of America,Action,competition,en,8.468586
Two Brothers,English,Canal+,United Kingdom,Drama,brother brother relationship,en,8.884317999999999
The Village,English,Touchstone Pictures,United States of America,Drama,secret,en,27.491891
Doctor Dolittle,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,woman director,en,21.462935
Signs,English,Touchstone Pictures,United States of America,Drama,alien,en,28.848187
Shrek 2,English,DreamWorks SKG,United States of America,Comedy,prison,en,47.320801
Cars,English,Walt Disney Pictures,United States of America,Comedy,duringcreditsstinger,en,82.643036
Runaway Bride,English,Paramount Pictures,United States of America,Comedy,wedding,en,20.230535
xXx,English,Columbia Pictures,United States of America,Thriller,mission,en,46.217769
The SpongeBob Movie: Sponge Out of Water,English,Paramount Pictures,United States of America,Comedy,comedy,en,36.952268
Ransom,English,Touchstone Pictures,United States of America,Thriller,suspense,en,16.411345
Inglourious Basterds,English,Universal Pictures,United States of America,Drama,violence,en,72.595961
Hook,English,TriStar Pictures,United States of America,Comedy,daughter,en,33.648404
Die Hard 2,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,based on novel,en,57.69846999999999
S.W.A.T.,English,Columbia Pictures Corporation,United States of America,Thriller,los angeles,en,34.052253
Vanilla Sky,English,Paramount Pictures,United States of America,Drama,amnesia,en,27.299301
Lady in the Water,English,Warner Bros.,United States of America,Drama,aftercreditsstinger,en,20.219385
AVP: Alien vs. Predator,English,Twentieth Century Fox Film Corporation,United States of America,Action,alien,en,42.957215999999995
Alvin and the Chipmunks: The Squeakquel,English,Regency Enterprises,United States of America,Comedy,woman director,en,29.412262
We Were Soldiers,English,Icon Entertainment International,United States of America,Action,based on true story,en,19.708731
Olympus Has Fallen,English,Millennium Films,United States of America,Thriller,white house,en,59.428222999999996
Star Trek: Insurrection,English,Paramount Pictures,United States of America,Thriller,space opera,en,19.711951000000003
Battle: Los Angeles,English,Columbia Pictures,United States of America,Action,los angeles,en,49.199234000000004
Big Fish,English,Columbia Pictures,United States of America,Drama,father son relationship,en,46.199482
Wolf,English,Columbia Pictures,United States of America,Fantasy,adultery,en,13.758526000000002
War Horse,English,DreamWorks SKG,United States of America,Drama,alcoholic,en,29.505574
The Monuments Men,English,Columbia Pictures,United States of America,Drama,world war ii,en,43.873266
The Abyss,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,insanity,en,24.961625
Wall Street: Money Never Sleeps,English,Twentieth Century Fox Film Corporation,United States of America,Drama,duringcreditsstinger,en,23.25645
Dracula Untold,English,Universal Pictures,United States of America,Drama,vampire,en,64.45794699999999
The Siege,English,Twentieth Century Fox Film Corporation,United States of America,Drama,fbi agent,en,20.089933
Stardust,English,Paramount Pictures,United States of America,Romance,based on novel,en,48.032734000000005
Seven Years in Tibet,English,TriStar Pictures,United States of America,Drama,world war ii,en,16.92991
The Dilemma,English,Universal Pictures,United States of America,Drama,friendship,en,14.780634
Bad Company,English,Touchstone Pictures,United States of America,Comedy,cia,en,14.086292000000002
Doom,English,Di Bonaventura Pictures,United States of America,Action,based on video game,en,29.261347999999998
I Spy,English,Columbia Pictures Corporation,United States of America,Comedy,woman director,en,13.267631
Underworld: Awakening,English,Screen Gems,United States of America,Action,daughter,en,58.40120400000001
Rock of Ages,English,New Line Cinema,United States of America,Drama,musical,en,23.515938000000002
Hart's War,English,Metro-Goldwyn-Mayer (MGM),United States of America,Drama,world war ii,en,14.244518
Killer Elite,English,Open Road Films,United States of America,Thriller,rescue,en,29.501489000000003
Rollerball,English,Metro-Goldwyn-Mayer (MGM),United States of America,Thriller,dystopia,en,9.306253
Ballistic: Ecks vs. Sever,English,Epsilon Motion Pictures,United States of America,Thriller,loss of family,en,8.37378
Hard Rain,English,Paramount Pictures,United States of America,Thriller,sheriff,en,10.930537
Osmosis Jones,English,Warner Bros.,United States of America,Comedy,lethal virus,en,10.54544
Legends of Oz: Dorothy's Return,English,Prana Animation Studios,United States of America,Family,N/A,en,6.6820059999999994
Blackhat,English,Universal Pictures,United States of America,Drama,suspense,en,46.832372
Sky Captain and the World of Tomorrow,English,Paramount Pictures,United States of America,Thriller,london england,en,24.664776
Basic Instinct 2,English,Intermedia Films,United States of America,Thriller,sex,en,13.483386999999999
Escape Plan,English,Summit Entertainment,United States of America,Thriller,prison,en,44.478043
The Legend of Hercules,English,Millennium Films,United States of America,Action,mythology,en,25.020428
The Sum of All Fears,English,Paramount Pictures,United States of America,Drama,cia,en,22.392544
The Twilight Saga: Eclipse,English,Summit Entertainment,United States of America,Drama,vampire,en,107.069763
The Score,English,Paramount Pictures,United States of America,Thriller,voice over,en,22.572323
Despicable Me,English,Universal Pictures,United States of America,Family,duringcreditsstinger,en,113.858273
Money Train,English,Columbia Pictures,United States of America,Comedy,brother brother relationship,en,10.004564
Ted 2,English,Universal Pictures,United States of America,Comedy,aftercreditsstinger,en,68.734513
Agora,English,Canal+ España,Spain,Drama,war,en,18.888806
Mystery Men,English,Universal Pictures,United States of America,Comedy,independent film,en,12.948627
Hall Pass,English,New Line Cinema,United States of America,Comedy,friends,en,27.115890000000004
The Insider,English,Touchstone Pictures,United States of America,Drama,spy,en,26.153669
The Finest Hours,English,Walt Disney Pictures,United States of America,Drama,3d,en,28.223664000000003
Body of Lies,English,Warner Bros.,United States of America,Drama,based on novel,en,37.507135999999996
Dinner for Schmucks,English,Paramount Pictures,United States of America,Comedy,duringcreditsstinger,en,11.023691
Abraham Lincoln: Vampire Hunter,English,Twentieth Century Fox Film Corporation,United States of America,Action,3d,en,38.634767
Entrapment,English,Regency Enterprises,United States of America,Drama,nudity,en,25.877794
The X Files,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,fbi,en,18.59991
The Last Legion,English,Ingenious Film Partners,United Kingdom,Action,emperor,en,12.282911
Saving Private Ryan,English,Paramount Pictures,United States of America,Drama,world war ii,en,76.04186700000001
Need for Speed,English,Touchstone Pictures,United States of America,Drama,duringcreditsstinger,en,54.814890000000005
What Women Want,English,Paramount Pictures,United States of America,Comedy,woman director,en,31.39165
Ice Age,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,dying and death,en,99.561972
Dreamcatcher,English,Village Roadshow Pictures,United States of America,Drama,religion and supernatural,en,26.792794
Lincoln,English,Twentieth Century Fox Film Corporation,United States of America,Drama,usa president,en,36.307296
The Matrix,English,Warner Bros.,United States of America,Action,woman director,en,104.309993
Apollo 13,English,Universal Pictures,United States of America,Drama,based on true story,en,68.140214
The Santa Clause 2,English,Walt Disney Pictures,United States of America,Comedy,sequel,en,14.646884
Les Misérables,English,Universal Pictures,United States of America,Drama,musical,en,48.356214
You've Got Mail,English,Warner Bros.,United States of America,Comedy,woman director,en,28.540267
Step Brothers,English,Columbia Pictures,United States of America,Comedy,duringcreditsstinger,en,22.977983
The Mask of Zorro,English,TriStar Pictures,United States of America,Action,revenge,en,31.086790999999998
Due Date,English,Warner Bros.,United States of America,Drama,highway,en,43.865294
Unbroken,English,Legendary Pictures,United States of America,Drama,woman director,en,43.055253
Space Cowboys,English,Warner Bros.,United States of America,Thriller,space travel,en,15.772081
Cliffhanger,English,Canal+,United States of America,Thriller,airplane,en,26.199089999999998
Broken Arrow,English,Twentieth Century Fox Film Corporation,United States of America,Drama,explosion,en,22.769108
The Kid,English,Walt Disney Pictures,United States of America,Comedy,midlife crisis,en,18.281798000000002
World Trade Center,English,Paramount Pictures,United States of America,Drama,hospital,en,24.697533
Mona Lisa Smile,English,Columbia Pictures,United States of America,Drama,faculty,en,19.718544
The Dictator,English,Paramount Pictures,United States of America,Comedy,kurdish,en,31.349142999999998
Eyes Wide Shut,English,Warner Bros.,United States of America,Drama,marijuana,en,27.870312
Annie,English,Columbia Pictures,United States of America,Drama,musical,en,33.439187
Focus,English,RatPac-Dune Entertainment,United States of America,Drama,rivalry,en,59.634029000000005
This Means War,English,Dune Entertainment,United States of America,Comedy,friendship,en,38.994296999999996
Blade: Trinity,English,New Line Cinema,United States of America,Thriller,superhero,en,49.660055
Red Dawn,English,United Artists,United States of America,Thriller,guerrilla,en,11.743085
Primary Colors,English,Universal Pictures,United States of America,Drama,usa president,en,9.110247
Resident Evil: Retribution,English,Davis-Films,United States of America,Action,dystopia,en,6.227675
Death Race,English,Universal Pictures,United States of America,Thriller,violence,en,42.57877
The Long Kiss Goodnight,English,New Line Cinema,United States of America,Thriller,escape,en,15.858629
Proof of Life,English,Warner Bros.,United States of America,Drama,suspense,en,14.866901
Zathura: A Space Adventure,English,Columbia Pictures Corporation,United States of America,Adventure,alien,en,15.194239000000001
Fight Club,English,Regency Enterprises,United States of America,Drama,violence,en,146.75739099999998
We Are Marshall,English,Warner Bros.,United States of America,Drama,sport,en,8.629665
Hudson Hawk,English,TriStar Pictures,United States of America,Comedy,painting,en,16.803457
Lucky Numbers,English,Paramount Pictures,United States of America,Comedy,woman director,en,2.952595
"I, Frankenstein",English,Lionsgate,United States of America,Thriller,3d,en,31.324734000000003
Oliver Twist,English,ETIC Films,United Kingdom,Drama,violence,en,20.415572
Elektra,English,Twentieth Century Fox Film Corporation,United States of America,Action,based on comic book,en,28.613892
Sin City: A Dame to Kill For,English,Miramax Films,United States of America,Thriller,murder,en,85.428395
Random Hearts,English,Columbia Pictures,United States of America,Drama,death,en,4.137237
Everest,English,Universal Pictures,United States of America,Drama,3d,en,60.246978000000006
Perfume: The Story of a Murderer,English,Constantin Film Produktion,Germany,Drama,nudity,en,42.551902
Austin Powers in Goldmember,English,New Line Cinema,United States of America,Comedy,duringcreditsstinger,en,40.137264
Astro Boy,English,Summit Entertainment,United States of America,Action,superhero,en,24.857079000000002
Jurassic Park,English,Universal Pictures,United States of America,Adventure,island,en,40.413191
Wyatt Earp,English,Warner Bros.,United States of America,Drama,sheriff,en,13.859307000000001
Clear and Present Danger,English,Paramount Pictures,United States of America,Drama,based on novel,en,18.832470999999998
Dragon Blade,English,Huayi Brothers Media,China,Drama,N/A,zh,9.568883999999999
Little Man,English,Revolution Studios,United States of America,Comedy,criminal,en,12.421503999999999
U-571,English,Universal Pictures,United States of America,Drama,world war ii,en,18.096884
The American President,English,Columbia Pictures,United States of America,Drama,new love,en,11.056763
The Love Guru,English,Paramount Pictures,United States of America,Comedy,sport,en,13.218008
3000 Miles to Graceland,English,Warner Bros.,United States of America,Comedy,duringcreditsstinger,en,11.262655
The Hateful Eight,English,The Weinstein Company,United States of America,Drama,mountains,en,68.717016
Blades of Glory,English,DreamWorks,United States of America,Drama,sport,en,19.412028
Hop,English,Universal Pictures,United Kingdom,Comedy,aftercreditsstinger,en,16.791058
300,English,Warner Bros.,United States of America,Action,army,en,65.197968
Meet the Fockers,English,Universal Pictures,United States of America,Comedy,family,en,32.829538
Marley & Me,English,Dune Entertainment III,United States of America,Comedy,duringcreditsstinger,en,30.951203000000003
The Green Mile,English,Warner Bros.,United States of America,Drama,based on novel,en,103.698022
Wild Hogs,English,Touchstone Pictures,United States of America,Comedy,road trip,en,31.719463
Chicken Little,English,Walt Disney Pictures,United States of America,Comedy,duringcreditsstinger,en,47.973995
Gone Girl,English,Twentieth Century Fox Film Corporation,United States of America,Drama,based on novel,en,143.041543
The Bourne Identity,English,Universal Pictures,United States of America,Drama,based on novel,en,86.47681700000001
GoldenEye,English,United Artists,United States of America,Thriller,secret identity,en,59.824565
The General's Daughter,English,Paramount Pictures,United States of America,Drama,based on novel,en,18.345613
The Truman Show,English,Paramount Pictures,United States of America,Drama,dystopia,en,56.488027
The Prince of Egypt,English,DreamWorks SKG,United States of America,Drama,woman director,en,29.464852
Daddy Day Care,English,Columbia Pictures,United States of America,Comedy,competition,en,18.106021
2 Guns,English,Emmett/Furla Films,United States of America,Comedy,based on comic book,en,42.881415000000004
Cats & Dogs,English,Warner Bros.,United States of America,Comedy,3d,en,18.735024
The Italian Job,English,Working Title Films,United States of America,Action,murder,en,62.766854
Two Weeks Notice,English,Village Roadshow Pictures,United States of America,Comedy,new york,en,24.153567000000002
Antz,English,DreamWorks SKG,United States of America,Comedy,war,en,41.515702000000005
Couples Retreat,English,Universal Pictures,United States of America,Comedy,duringcreditsstinger,en,26.676486999999998
Days of Thunder,English,Paramount Pictures,United States of America,Adventure,car crash,en,16.278022
Cheaper by the Dozen 2,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,holiday,en,18.831023000000002
Maze Runner: The Scorch Trials,English,TSG Entertainment,United States of America,Action,based on novel,en,113.161483
Eat Pray Love,English,Columbia Pictures,United States of America,Drama,divorce,en,28.800112
The Family Man,English,Universal Pictures,United States of America,Drama,christmas,en,19.705489
RED,English,Summit Entertainment,United States of America,Comedy,cia,en,41.430245
Any Given Sunday,English,Warner Bros.,United States of America,Drama,sport,en,23.127561
The Horse Whisperer,English,Touchstone Pictures,United States of America,Drama,new york,en,12.867352
Collateral,English,Paramount Pictures,United States of America,Drama,police,en,44.815022
The Scorpion King,English,Universal Pictures,United States of America,Action,egypt,en,37.537093
Ladder 49,English,Touchstone Pictures,United States of America,Drama,ledge,en,10.99991
Jack Reacher,English,Paramount Pictures,United States of America,Drama,based on novel,en,56.868399
Deep Blue Sea,English,Warner Bros.,United States of America,Thriller,shark,en,22.991269
This Is It,English,Columbia Pictures,United States of America,Music,duringcreditsstinger,en,15.798622
Contagion,English,Warner Bros.,United States of America,Drama,saving the world,en,38.820858
Kangaroo Jack,English,Warner Bros.,United States of America,Comedy,australia,en,10.292864
Coraline,English,Focus Features,United States of America,Family,duringcreditsstinger,en,51.146046999999996
The Happening,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,natural disaster,en,20.501582
Man on Fire,English,Regency Enterprises,United States of America,Drama,kidnapping,en,45.299089
The Shaggy Dog,English,Walt Disney Pictures,United States of America,Comedy,family,en,4.280619000000001
Starsky & Hutch,English,Warner Bros.,United States of America,Comedy,informant,en,28.848841999999998
Jingle All the Way,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,christmas,en,22.501041
Hellboy,English,Revolution Studios,United States of America,Action,duringcreditsstinger,en,47.479755
A Civil Action,English,Paramount Pictures,United States of America,Drama,lawyer,en,10.147321
ParaNorman,English,Focus Features,United States of America,Comedy,aftercreditsstinger,en,39.539045
The Jackal,English,Universal Pictures,United States of America,Thriller,fbi,en,19.747459
Paycheck,English,Paramount Pictures,United States of America,Thriller,scientist,en,29.018826
Up Close & Personal,Français,Touchstone Pictures,United States of America,Drama,reporter,en,4.801849
The Tale of Despereaux,English,Larger Than Life Productions,United States of America,Adventure,forgiveness,en,16.493576
The Tuxedo,English,DreamWorks SKG,United States of America,Comedy,secret agent,en,21.549232
Under Siege 2: Dark Territory,English,Warner Bros.,United States of America,Thriller,terrorist,en,13.080725
Jack Ryan: Shadow Recruit,English,Paramount Pictures,United States of America,Drama,murder,en,42.538258
Joy,English,Fox 2000 Pictures,United States of America,Drama,biography,en,29.876507
London Has Fallen,English,Millennium Films,United States of America,Thriller,london england,en,61.849520999999996
Alien: Resurrection,English,Twentieth Century Fox Film Corporation,United States of America,Action,dystopia,en,37.44963
Shooter,English,Paramount Pictures,United States of America,Drama,corruption,en,37.378081
The Boxtrolls,English,Laika Entertainment,United States of America,Comedy,duringcreditsstinger,en,30.656345
Practical Magic,English,Warner Bros.,United States of America,Drama,love,en,15.142701
The Lego Movie,English,Warner Bros.,United States of America,Comedy,duringcreditsstinger,en,59.547928000000006
Miss Congeniality 2: Armed and Fabulous,English,Village Roadshow Pictures,United States of America,Comedy,fbi agent,en,19.998581
Reign of Fire,English,Touchstone Pictures,United States of America,Action,dragon,en,27.615108000000003
Gangster Squad,English,Warner Bros.,United States of America,Drama,los angeles,en,29.041197999999998
Year One,English,Columbia Pictures,United States of America,Comedy,duringcreditsstinger,en,25.293538
Invictus,English,Warner Bros.,United States of America,Drama,duringcreditsstinger,en,23.85119
State of Play,English,Universal Pictures,United States of America,Action,murder,en,21.685719
Duplicity,English,Universal Pictures,United States of America,Comedy,spy,en,13.630049
My Favorite Martian,English,Walt Disney Pictures,United States of America,Drama,alien,en,6.80692
The Sentinel,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,usa president,en,15.352807
Planet 51,English,TriStar Pictures,United States of America,Comedy,duringcreditsstinger,en,23.661071
Star Trek: Nemesis,English,Paramount Pictures,United States of America,Thriller,assassination,en,21.605532999999998
Intolerable Cruelty,English,Universal Pictures,United States of America,Comedy,lawyer,en,22.620125
Trouble with the Curve,English,Warner Bros.,United States of America,Drama,sport,en,18.587114
Edge of Darkness,English,Warner Bros.,United States of America,Drama,murder,en,24.657931
The Relic,English,Universal Pictures,United States of America,Thriller,based on novel,en,12.621769
Analyze That,English,Warner Bros.,United States of America,Comedy,prison,en,21.08952
Righteous Kill,English,Millennium Films,United States of America,Drama,murder,en,18.380176000000002
Mercury Rising,English,Universal Pictures,United States of America,Drama,fbi,en,18.877795000000003
The Soloist,English,Universal Pictures,United States of America,Drama,musical,en,17.299332999999997
The Legend of Bagger Vance,English,Twentieth Century Fox Film Corporation,United States of America,Drama,competition,en,16.848899
Almost Famous,English,Columbia Pictures,United States of America,Drama,based on true story,en,21.547446
Garfield: A Tail of Two Kitties,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,london england,en,16.930969
xXx: State of the Union,English,Columbia Pictures Corporation,United States of America,Drama,helicopter,en,36.689223
Priest,English,Screen Gems,United States of America,Thriller,dystopia,en,28.350927000000002
Sinbad: Legend of the Seven Seas,English,DreamWorks Animation,United States of America,Adventure,prince,en,18.815442
Event Horizon,English,Paramount Pictures,United States of America,Science Fiction,violence,en,29.787135
Dragonfly,English,Universal Pictures,United States of America,Drama,hospital,en,8.927137
The Black Dahlia,English,Universal Pictures,United States of America,Drama,los angeles,en,15.213484
Flyboys,English,Ingenious Film Partners,United States of America,Drama,world war i,en,13.155999
The Last Castle,English,DreamWorks SKG,United States of America,Drama,prison,en,15.433244
Supernova,English,Metro-Goldwyn-Mayer (MGM),United States of America,Thriller,future,en,5.762037
Winter's Tale,English,Warner Bros.,United States of America,Drama,based on novel,en,22.736038
The Mortal Instruments: City of Bones,English,Constantin Film Produktion,United States of America,Drama,based on young adult novel,en,45.514031
Meet Dave,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,duringcreditsstinger,en,18.676291
Dark Water,English,Touchstone Pictures,United States of America,Drama,based on novel,en,14.376463000000001
Edtv,English,Universal Pictures,United States of America,Comedy,tv show,en,14.298297
Inkheart,English,New Line Cinema,United States of America,Adventure,fairy tale,en,27.018886
The Spirit,English,Lionsgate,United States of America,Comedy,secret identity,en,14.84856
Mortdecai,English,Lionsgate,United States of America,Comedy,based on novel,en,52.417528999999995
In the Name of the King: A Dungeon Siege Tale,English,Brightlight Pictures,United States of America,Drama,revenge,en,15.406173
Beyond Borders,English,Mel's Cite du Cinema,United States of America,Drama,london england,en,6.523472
The Monkey King 2,普通话,Filmko Pictures,China,Action,monkey king,zh,4.7262900000000005
The Great Raid,English,Lawrence Bender Productions,United States of America,Action,based on novel,en,8.923214999999999
Deadpool,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,duringcreditsstinger,en,514.5699559999999
Holy Man,English,Touchstone Pictures,United States of America,Drama,television,en,9.265672
American Sniper,English,Warner Bros.,United States of America,Action,biography,en,87.53437
Goosebumps,English,Columbia Pictures,United States of America,Comedy,based on novel,en,45.351617
Just Like Heaven,English,DreamWorks SKG,United States of America,Comedy,based on novel,en,13.43573
The Flintstones in Viva Rock Vegas,English,Universal Pictures,United States of America,Comedy,best friend,en,6.248309
Rambo III,English,TriStar Pictures,United States of America,Thriller,competition,en,31.294717
Leatherheads,English,Universal Pictures,United States of America,Drama,police,en,7.739275999999999
The Ridiculous 6,English,Happy Madison Productions,United States of America,Comedy,wild west,en,19.694695
Did You Hear About the Morgans?,English,Columbia Pictures,United States of America,Comedy,duringcreditsstinger,en,14.403696
The Internship,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,job interview,en,1.551497
Resident Evil: Afterlife,English,Constantin Film Produktion,United States of America,Action,duringcreditsstinger,en,2.143764
Red Tails,English,Twentieth Century Fox Film Corporation,United States of America,Drama,world war ii,en,12.29603
The Devil's Advocate,English,Warner Bros.,United States of America,Drama,nudity,en,33.8473
That's My Boy,English,Columbia Pictures,United States of America,Comedy,brother sister incest,en,21.723897
DragonHeart,English,Universal Pictures,United States of America,Fantasy,revenge,en,31.791978999999998
After the Sunset,English,New Line Cinema,United States of America,Drama,bahamas,en,14.113066
Ghost Rider: Spirit of Vengeance,English,Columbia Pictures,United States of America,Thriller,superhero,en,48.622278
Captain Corelli's Mandolin,English,Universal Pictures,United States of America,Drama,officer,en,9.061866
The Pacifier,English,Walt Disney Pictures,United States of America,Drama,family,en,35.4763
Walking Tall,English,Metro-Goldwyn-Mayer (MGM),United States of America,Drama,violence,en,23.438398
Forrest Gump,English,Paramount Pictures,United States of America,Drama,based on novel,en,138.133331
Alvin and the Chipmunks,English,Regency Enterprises,United States of America,Comedy,duringcreditsstinger,en,47.336034000000005
Meet the Parents,English,Universal Pictures,United States of America,Comedy,daughter,en,29.972240000000003
Pocahontas,English,Walt Disney Pictures,United States of America,Drama,musical,en,47.845589000000004
Superman,English,Warner Bros.,United States of America,Action,aftercreditsstinger,en,48.507081
The Nutty Professor,English,Universal Pictures,United States of America,Comedy,duringcreditsstinger,en,20.28119
